id,text,rationale
1afa02df02c908a558b4036e80242fac,"Question: A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?
Choices:
A: bank
B: library
C: department store
D: mall
E: new york
",The answer is D because a revolving door is a security measure at a mall.</s>
a7ab086045575bb497933726e4e6ad28,"Question: What do people aim to do at work?
Choices:
A: complete job
B: learn from each other
C: kill animals
D: wear hats
E: talk to each other
",nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan
b8c0a4703079cf661d7261a60a1bcbff,"Question: Where would you find magazines along side many other printed works?
Choices:
A: doctor
B: bookstore
C: market
D: train station
E: mortuary
",The answer is B because magazines are often found in bookstores along with many other printed works.</s>
e68fb2448fd74e402aae9982aa76e527,"Question: Where are  you likely to find a hamburger?
Choices:
A: fast food restaurant
B: pizza
C: ground up dead cows
D: mouth
E: cow carcus
",The answer is D because hamburgers are usually found in the mouth.</s>
2435de612dd69f2012b9e40d6af4ce38,"Question: James was looking for a good place to buy farmland.  Where might he look?
Choices:
A: midwest
B: countryside
C: estate
D: farming areas
E: illinois
",The answer is E because he could look for farmland in Illinois.</s>
a4892551cb4beb279653ae52d0de4c89,"Question: What island country is ferret popular?
Choices:
A: own home
B: north carolina
C: great britain
D: hutch
E: outdoors
",The answer is D because ferrets are popular in hutch.</s>
118a9093a30695622363455e4d911866,"Question: In what Spanish speaking North American country can you get a great cup of coffee?
Choices:
A: mildred's coffee shop
B: mexico
C: diner
D: kitchen
E: canteen
",The answer is D because you can get a great cup of coffee in a kitchen.</s>
05ea49b82e8ec519e82d6633936ab8bf,"Question: What do animals do when an enemy is approaching?
Choices:
A: feel pleasure
B: procreate
C: pass water
D: listen to each other
E: sing
",The answer is D because animals listen to each other when an enemy is approaching.</s>
c0c07ce781653b2a2c01871ba2bcba93,"Question: Reading newspaper one of many ways to practice your what?
Choices:
A: literacy
B: knowing how to read
C: money
D: buying
E: money bank
",The answer is B because reading newspaper one of many ways to practice your knowing how to read.</s>
1d24f406b6828492040b405d3f35119c,"Question: What do people typically do while playing guitar?
Choices:
A: cry
B: hear sounds
C: singing
D: arthritis
E: making music
",The answer is B because people typically hear sounds while playing guitar.</s>
57f92025d860e32c4e780c0d51c1c20c,"Question: What would vinyl be an odd thing to replace?
Choices:
A: pants
B: record albums
C: record store
D: cheese
E: wallpaper
",The answer is A because vinyl is an odd thing to replace because it is worn and has a tendency to crack and tear.</s>
81eb4b2ee66edd8bc91ee944697c4e9f,"Question: If you want harmony, what is something you should try to do with the world?
Choices:
A: take time
B: make noise
C: make war
D: make peace
E: make haste
","The answer is B because if you want harmony, you should try to make noise with the world.</s>"
d807e7ae60976324920c8d29eb42dad6,"Question: Where does a heifer's master live?
Choices:
A: farm house
B: barnyard
C: stockyard
D: slaughter house
E: eat cake
",The answer is D because a heifer's master lives in a slaughter house.</s>
7ea9f721ffc662918bb0c0937a487f04,"Question: Aside from water and nourishment what does your dog need?
Choices:
A: bone
B: charm
C: petted
D: lots of attention
E: walked
",The answer is D because your dog needs lots of attention to keep him healthy.</s>
fc1d33a2301a30214523c12573f81aba,"Question: Janet was watching the film because she liked what?
Choices:
A: erection
B: laughter
C: being entertained
D: fear
E: bordem
",The answer is B because she liked laughter.</s>
3b8e1d236f5169b6c833a994d6d9c39a,"Question: What are you waiting alongside with when you're in a reception area?
Choices:
A: motel
B: chair
C: hospital
D: people
E: hotels
",The answer is A because motels are often located near reception areas and provide rooms for rent or purchase.</s>
c5c4166f2ed3c2b3517b79e6848e9ae2,"Question: When drinking booze what can you do to stay busy?
Choices:
A: reach tentative agreement
B: stay in bed
C: stop bicycle
D: examine thing
E: suicide
","The answer is B because when drinking booze, you can stay in bed.</s>"
6dc5b2884737e66543ce65f8dc40c992,"Question: A fencing thrust with a sharp sword towards a person would result in what?
Choices:
A: injury
B: small cuts
C: fever
D: competition
E: puncture wound
",The answer is A because a fencing thrust with a sharp sword towards a person would result in an injury.</s>
8af63d58cc35061dec38e5448c325988,"Question: Unlike a spider and his many sight seers, people only have what?
Choices:
A: tongues
B: names
C: brains
D: feelings
E: two eyes
",The answer is D because people only have feelings.</s>
